price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,region,population_(rounded)*,postcode,ethnic_breakdown_2016,median_house_price_(2020),median_house_price_(2021),%_change,median_house_rent_(per_week),median_apartment_price_(2020),median_apartment_rent_(per_week),public_housing_%,avg._years_held,time_to_cbd_(public_transport)_[town_hall_st],time_to_cbd_(driving)_[town_hall_st],nearest_train_station,highlights/attractions,ideal_for,traffic,public_transport,affordability_(rental),affordability_(buying),nature,noise,things_to_see/do,family-friendliness,pet_friendliness,safety,overall_rating,review_link
530000,2016-01-13,Kincumber,4,4,2,1351,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525000,2016-01-13,Halekulani,2,4,2,594,House,2538,24752,1.397,-33.21772,151.55237,23,2.0,150.9,78.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480000,2016-01-13,Chittaway Bay,2,4,2,468,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452000,2016-01-13,Leumeah,1,3,1,344,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,South West,"10,000",2560.0,"Australian 23.0%, English 22.7%, Irish 6.8%, Scottish 5.6%, Indian 3.4%","$590,000.00","$680,000.00",15.25%,$385.00,"$380,000.00",$345.00,10%,12.7,60 minutes,50 minutes,Leumeah,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
365500,2016-01-13,North Avoca,0,0,0,1850,Vacant land,2200,45084,1.497,-33.45608,151.43598,18,2.0,150.9,49.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550000,2016-01-15,Kincumber,1,3,1,626,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535000,2016-01-15,Bensville,1,3,1,556,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495000,2016-01-15,Leumeah,1,3,2,582,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,South West,"10,000",2560.0,"Australian 23.0%, English 22.7%, Irish 6.8%, Scottish 5.6%, Indian 3.4%","$590,000.00","$680,000.00",15.25%,$385.00,"$380,000.00",$345.00,10%,12.7,60 minutes,50 minutes,Leumeah,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
410000,2016-01-15,Toukley,1,3,3,493,House,4550,25844,3.683,-33.25799,151.54324,4,2.0,150.9,74.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242500,2016-01-15,Winmalee,0,0,0,1248,Vacant land,6202,38740,9.058,-33.67971,150.61119,263,2.0,150.9,59.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500000,2016-01-16,Point Clare,1,3,2,742,House,3731,31772,3.336,-33.44017,151.31715,62,2.0,150.9,48.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890000,2016-01-18,Picnic Point,2,4,3,715,House,6160,40560,3.859,-33.97301,151.00632,33,2.0,150.9,22.31,Western Suburbs,"6,250",2213.0,"Australian 23.1%, English 20.7%, Irish 8.2%, Scottish 5.9%, Greek 4.9%","$1,000,000.00","$1,200,000.00",20.00%,$625.00,"$740,000.00",$580.00,1%,12.2,60 minutes,35 minutes,East Hills,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
533000,2016-01-18,Whalan,3,4,2,695,House,5973,24180,2.429,-33.75572,150.80361,37,2.0,150.9,39.53,Western Suburbs,"6,000",2770.0,"Australian 24.9%, English 21.6%, Irish 4.7%, Scottish 4.6%, Samoan 4.2%","$470,000.00","$590,000.00",25.53%,$340.00,,$280.00,33%,11.2,65 minutes,50 minutes,Mount Druitt,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1120500,2016-01-19,North Rocks,2,4,2,904,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,Hills Shire,"8,000",2151.0,"English 20.1%, Australian 19.4%, Chinese 14.9%, Irish 6.8%, Scottish 5.5%","$1,250,000.00","$1,500,000.00",20.00%,$590.00,"$605,000.00",$495.00,0%,17.1,60 minutes,35 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
830000,2016-01-19,Winmalee,3,6,2,2109,House,6202,38740,9.058,-33.67971,150.61119,263,2.0,150.9,59.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675000,2016-01-19,Bass Hill,3,3,2,263,Townhouse,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,Western Suburbs,"9,250",2197.0,"Lebanese 20.9%, Australian 13.5%, English 11.0%, Vietnamese 7.9%, Italian 4.3%","$790,000.00","$900,000.00",13.92%,$570.00,,$470.00,12%,14.3,70 minutes,40 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
